Kanji,Hiragana,English,JLPT
会う,あう,to meet,N5
青,あお,blue,N5
青い,あおい,blue,N5
赤,あか,red,N5
赤い,あかい,red,N5
明い,あかるい,bright,N5
秋,あき,autumn,N5
開く,あく,"to open, to become open",N5
開ける,あける,to open,N5
上げる,あげる,to give,N5
朝,あさ,morning,N5
朝御飯,あさごはん,breakfast,N5
,あさって,day after tomorrow,N5
足,あし,"foot, leg",N5
明日,あした,tomorrow,N5
,あそこ,over there,N5
遊ぶ,あそぶ,"to play, to make a visit",N5
暖かい,あたたかい,warm,N5
頭,あたま,head,N5
新しい,あたらしい,new,N5
,あちら,there,N5
暑い,あつい,hot,N5
熱い,あつい,hot to the touch,N5
厚い,あつい,"kind, deep, thick",N5
,あっち,over there,N5
後,あと,afterwards,N5
,あなた,you,N5
兄,あに,(humble) older brother,N5
姉,あね,(humble) older sister,N5
,あの,that over there,N5
,あの,um...,N5
,アパート,apartment,N5
,あびる,"to bathe, to shower",N5
危ない,あぶない,dangerous,N5
甘い,あまい,sweet,N5
,あまり,not very,N5
雨,あめ,rain,N5
飴,あめ,candy,N5
洗う,あらう,to wash,N5
,ある,"to be,to have (used for inanimate objects)",N5
歩く,あるく,to walk,N5
,あれ,that,N5
,いい/よい,good,N5
,いいえ,no,N5
言う,いう,to say,N5
家,いえ,house,N5
,いかが,how,N5
行く,いく,to go,N5
,いくつ,"how many?,how old?",N5
,いくら,how much?,N5
池,いけ,pond,N5
医者,いしゃ,medical doctor,N5
,いす,chair,N5
忙しい,いそがしい,"busy, irritated",N5
痛い,いたい,painful,N5
一,いち,one,N5
一日,いちにち,first of the month,N5
,いちばん,"best, first",N5
,いつ,when,N5
五日,いつか,"five days, fifth day",N5
一緒,いっしょ,together,N5
五つ,いつつ,five,N5
,いつも,always,N5
犬,いぬ,dog,N5
今,いま,now,N5
意味,いみ,meaning,N5
妹,いもうと,(humble) younger sister,N5
嫌,いや,unpleasant,N5
入口,いりぐち,entrance,N5
居る,いる,"to be, to have (used for people and animals)",N5
要る,いる,to need,N5
入れる,いれる,to put in,N5
色,いろ,colour,N5
,いろいろ,various,N5
上,うえ,on top of,N5
後ろ,うしろ,behind,N5
薄い,うすい,"thin,weak",N5
歌,うた,song,N5
歌う,うたう,to sing,N5
生まれる,うまれる,to be born,N5
海,うみ,sea,N5
売る,うる,to sell,N5
煩い,うるさい,"noisy, annoying",N5
上着,うわぎ,jacket,N5
絵,え,picture,N5
映画,えいが,movie,N5
映画館,えいがかん,cinema,N5
英語,えいご,English language,N5
,ええ,yes,N5
駅,えき,station,N5
,エレベーター,elevator,N5
鉛筆,えんぴつ,pencil,N5
,おいしい,delicious,N5
多い,おおい,many,N5
大きい,おおきい,big,N5
大きな,おおきな,big,N5
大勢,おおぜい,great number of people,N5
お母さん,おかあさん,(honorable) mother,N5
お菓子,おかし,"sweets, candy",N5
お金,おかね,money,N5
起きる,おきる,to get up,N5
置く,おく,to put,N5
奥さん,おくさん,(honorable) wife,N5
お酒,おさけ,"alcohol, rice wine",N5
お皿,おさら,"plate, dish",N5
伯父/叔父,おじいさん,"grandfather, male senior citizen",N5
教える,おしえる,"to teach, to tell",N5
伯父/叔父,おじさん,"uncle, middle aged gentleman",N5
押す,おす,"to push, to stamp something",N5
遅い,おそい,"late, slow",N5
お茶,おちゃ,green tea,N5
お手洗い,おてあらい,bathroom,N5
お父さん,おとうさん,(honorable) father,N5
弟,おとうと,younger brother,N5
男,おとこ,Man,N5
男の子,おとこのこ,Boy,N5
一昨日,おととい,day before yesterday,N5
一昨年,おととし,year before last,N5
大人,おとな,Adult,N5
,おなか,stomach,N5
同じ,おなじ,same,N5
お兄さん,おにいさん,(honorable) older brother,N5
お姉さん,おねえさん,(honorable) older sister,N5
,おばあさん,"grandmother, female senior-citizen",N5
伯母さん/叔母さん,おばさん,Aunt,N5
お風呂,おふろ,Bath,N5
お弁当,おべんとう,boxed lunch,N5
覚える,おぼえる,to remember,N5
,おまわりさん,friendly term for policeman,N5
重い,おもい,Heavy,N5
,おもしろい,Interesting,N5
泳ぐ,およぐ,to swim,N5
降りる,おりる,"to get off, to descend",N5
終る,おわる,to finish,N5
音楽,おんがく,Music,N5
女,おんな,Woman,N5
女の子,おんなのこ,Girl,N5
外国,がいこく,foreign country,N5
外国人,がいこくじん,Foreigner,N5
会社,かいしゃ,Company,N5
階段,かいだん,Stairs,N5
買い物,かいもの,Shopping,N5
買う,かう,to buy,N5
返す,かえす,to return something,N5
帰る,かえる,to go back,N5
,かかる,to take time or money,N5
,かぎ,Key,N5
書く,かく,to write,N5
学生,がくせい,Student,N5
,かける,to call by phone,N5
傘,かさ,Umbrella,N5
貸す,かす,to lend,N5
風,かぜ,Wind,N5
風邪,かぜ,a cold,N5
家族,かぞく,Family,N5
方,かた,"person, way of doing",N5
学校,がっこう,School,N5
,カップ,Cup,N5
家庭,かてい,Household,N5
角,かど,a corner,N5
,かばん,"bag, basket",N5
花瓶,かびん,a vase,N5
紙,かみ,paper,N5
,カメラ,camera,N5
火曜日,かようび,Tuesday,N5
辛い,からい,Spicy,N5
体,からだ,Body,N5
借りる,かりる,to borrow,N5
軽い,かるい,Light,N5
,カレー,Curry,N5
,カレンダー,calendar,N5
川/河,かわ,River,N5
,かわいい,Cute,N5
漢字,かんじ,Chinese character,N5
木,き,"tree, wood",N5
黄色,きいろ,yellow,N5
黄色い,きいろい,yellow,N5
消える,きえる,to disappear,N5
聞く,きく,"to hear, to listen to, to ask",N5
北,きた,North,N5
,ギター,Guitar,N5
汚い,きたない,Dirty,N5
喫茶店,きっさてん,coffee lounge,N5
切手,きって,postage stamp,N5
切符,きっぷ,Ticket,N5
昨日,きのう,Yesterday,N5
九,きゅう / く,Nine,N5
牛肉,ぎゅうにく,Beef,N5
牛乳,ぎゅうにゅう,Milk,N5
今日,きょう,Today,N5
教室,きょうしつ,Classroom,N5
兄弟,きょうだい,(humble) siblings,N5
去年,きょねん,last year,N5
嫌い,きらい,Hate,N5
切る,きる,to cut,N5
着る,きる,to put on from the shoulders down,N5
,きれい,"pretty, clean",N5
,キロ/キログラム,Kilogram,N5
,キロ/キロメートル,Kilometer,N5
銀行,ぎんこう,Bank,N5
金曜日,きんようび,Friday,N5
薬,くすり,medicine,N5
,ください,Please,N5
果物,くだもの,Fruit,N5
口,くち,"mouth, opening",N5
靴,くつ,Shoes,N5
靴下,くつした,Socks,N5
国,くに,Country,N5
曇り,くもり,cloudy weather,N5
曇る,くもる,"to become cloudy, to become dim",N5
暗い,くらい,Gloomy,N5
,クラス,Class,N5
,グラム,Gram,N5
来る,くる,to come,N5
車,くるま,"car, vehicle",N5
黒,くろ,Black,N5
黒い,くろい,black,N5
警官,けいかん,policeman,N5
今朝,けさ,this morning,N5
消す,けす,"to erase, to turn off power",N5
結構,けっこう,"splendid, enough",N5
結婚,けっこん,Marriage,N5
月曜日,げつようび,Monday,N5
玄関,げんかん,entry hall,N5
元気,げんき,"health, vitality",N5
五,ご,Five,N5
公園,こうえん,Park,N5
交差点,こうさてん,intersection,N5
紅茶,こうちゃ,black tea,N5
交番,こうばん,police box,N5
声,こえ,Voice,N5
,コート,"coat, tennis court",N5
,コーヒー,Coffee,N5
,ここ,Here,N5
午後,ごご,afternoon,N5
九日,ここのか,"nine days, ninth day",N5
九つ,ここのつ,Nine,N5
午前,ごぜん,morning,N5
答える,こたえる,to answer,N5
,こちら,this person or way,N5
,こっち,this person or way,N5
,コップ,a glass,N5
今年,ことし,this year,N5
言葉,ことば,"word, language",N5
子供,こども,Child,N5
,この,This,N5
御飯,ごはん,"cooked rice, meal",N5
,コピーする,to copy,N5
困る,こまる,to be worried,N5
,これ,This,N5
今月,こんげつ,this month,N5
今週,こんしゅう,this week,N5
,こんな,Such,N5
今晩,こんばん,this evening,N5
,さあ,well…,N5
財布,さいふ,Wallet,N5
魚,さかな,Fish,N5
先,さき,"the future, previous",N5
咲く,さく,to bloom,N5
作文,さくぶん,"composition, writing",N5
差す,さす,"to stretch out hands, to raise an umbrella",N5
雑誌,ざっし,Magazine,N5
砂糖,さとう,Sugar,N5
寒い,さむい,Cold,N5
さ来年,さらいねん,year after next,N5
三,さん,Three,N5
散歩,さんぽする,to stroll,N5
四,し / よん,Four,N5
塩,しお,Salt,N5
,しかし,However,N5
時間,じかん,Time,N5
仕事,しごと,Job,N5
辞書,じしょ,Dictionary,N5
静か,しずか,Quiet,N5
下,した,Below,N5
七,しち / なな,Seven,N5
質問,しつもん,Question,N5
自転車,じてんしゃ,Bicycle,N5
自動車,じどうしゃ,Automobile,N5
死ぬ,しぬ,to die,N5
字引,じびき,Dictionary,N5
自分,じぶん,Oneself,N5
閉まる,しまる,"to close, to be closed",N5
閉める,しめる,to close something,N5
締める,しめる,to tie,N5
,じゃ/じゃあ,well then…,N5
写真,しゃしん,photograph,N5
,シャツ,Shirt,N5
,シャワー,Shower,N5
十,じゅう とお,Ten,N5
授業,じゅぎょう,"lesson, class work",N5
宿題,しゅくだい,homework,N5
上手,じょうず,Skillful,N5
丈夫,じょうぶ,"strong, durable",N5
,しょうゆ,soy sauce,N5
食堂,しょくどう,dining hall,N5
知る,しる,to know,N5
白,しろ,White,N5
白い,しろい,White,N5
新聞,しんぶん,newspaper,N5
水曜日,すいようび,Wednesday,N5
吸う,すう,"to smoke, to suck",N5
,スカート,Skirt,N5
好き,すき,Likeable,N5
少ない,すくない,a few,N5
,すぐに,Instantly,N5
少し,すこし,Few,N5
涼しい,すずしい,Refreshing,N5
,ストーブ,Heater,N5
,スプーン,Spoon,N5
,スポーツ,Sport,N5
,ズボン,Trousers,N5
住む,すむ,to live in,N5
,スリッパ,Slippers,N5
,する,to do,N5
座る,すわる,to sit,N5
背,せ,"height, stature",N5
生徒,せいと,Pupil,N5
,セーター,"sweater, jumper",N5
,せっけん,Economy,N5
背広,せびろ,business suit,N5
狭い,せまい,Narrow,N5
,ゼロ,Zero,N5
千,せん,Thousand,N5
先月,せんげつ,last month,N5
先週,せんしゅう,last week,N5
先生,せんせい,"teacher, doctor",N5
洗濯,せんたく,Washing,N5
全部,ぜんぶ,All,N5
掃除,そうじする,"to clean, to sweep",N5
,そうして/そして,And,N5
,そこ,that place,N5
,そちら,over there,N5
,そっち,over there,N5
外,そと,Outside,N5
,その,That,N5
,そば,"near, beside",N5
空,そら,Sky,N5
,それ,that,N5
,それから,after that,N5
,それでは,in that situation,N5
大学,だいがく,university,N5
大使館,たいしかん,embassy,N5
大丈夫,だいじょうぶ,all right,N5
大好き,だいすき,to be very likeable,N5
大切,たいせつ,important,N5
台所,だいどころ,kitchen,N5
,たいへん,very,N5
,たいへん,difficult situation,N5
高い,たかい,"tall, expensive",N5
,たくさん,many,N5
,タクシー,taxi,N5
出す,だす,to put out,N5
立つ,たつ,to stand,N5
,たて,"length,height",N5
建物,たてもの,building,N5
楽しい,たのしい,enjoyable,N5
頼む,たのむ,to ask,N5
,たばこ,"tobacco,cigarettes",N5
,たぶん,probably,N5
食べ物,たべもの,food,N5
食べる,たべる,to eat,N5
卵,たまご,egg,N5
誰,だれ,who,N5
誰,だれか,somebody,N5
誕生日,たんじょうび,birthday,N5
,だんだん,gradually,N5
小さい,ちいさい,little,N5
小さな,ちいさな,little,N5
近い,ちかい,near,N5
違う,ちがう,to differ,N5
近く,ちかく,near,N5
地下鉄,ちかてつ,underground train,N5
地図,ちず,map,N5
茶色,ちゃいろ,brown,N5
,ちゃわん,rice bowl,N5
,ちょうど,exactly,N5
,ちょっと,somewhat,N5
一日,ついたち,first of month,N5
使う,つかう,to use,N5
疲れる,つかれる,to get tired,N5
次,つぎ,next,N5
着く,つく,to arrive at,N5
机,つくえ,desk,N5
作る,つくる,to make,N5
