Word,Level,Guideword,Part of Speech,Topic
a,A1,NOT PARTICULAR | ONE | TYPE,determiner | None,None
abandon,B2,LEAVE,verb,
abandoned,B2,EMPTY | LEFT SOMEWHERE,adjective,
ability,B1,,noun,
able,C2,SMART,adjective,people: personality
abnormal,C1,,adjective,describing things
aboard,C1,,adverb,travel
abolish,B2,,verb,
abortion,C1,,noun,body and health
about,A1,SUBJECT,adverb | None | preposition,communication | None
above,A1,HIGHER POSITION,adverb,describing things
abroad,B1,,adverb,travel
abrupt,C2,QUICK | SUDDEN,adjective,people: personality
abruptly,C2,,adverb,
absence,B2,NOT EXISTING | NOT PRESENT,noun,
absent,B1,,adjective,
absolute,B2,,adjective,communication
absolutely,B1,COMPLETELY,adverb,communication
absorb,B2,TAKE IN,verb,
absorbed,B2,,,
abstract,B2,ART | IDEAS,adjective,arts and media
absurd,B2,,adjective,describing things
abuse,B2,BAD TREATMENT | WRONG USE,noun,communication
abusive,C2,,adjective,
academic,B2,,adjective,education
accelerate,C1,HAPPEN,verb,travel
accent,B1,PRONUNCIATION,noun,communication
accept,B1,AGREE TO TAKE,verb,communication | people: actions
acceptable,B1,GOOD ENOUGH,adjective,describing things
acceptance,C1,,noun,
accepted,C1,,adjective,
access,B1,METHOD,None | noun | verb,None | technology
accessible,B2,,adjective,
accessory,C1,,noun,
accident,A2,BAD EVENT,noun,body and health
accidental,B2,,adjective,
accidentally,B1,,adverb,
acclaimed,C1,,adjective,
accommodations,B2,,noun,
accompany,B1,GO WITH | HAPPEN TOGETHER,verb,arts and media
accomplish,C1,,verb,
accord,C2,,,
accordance,C1,,,
according,B1,OPINION,,communication
account,B1,BANK,noun,communication | money
accountable,C2,,adjective,
accountant,B1,,noun,money | work
accounts,C1,,,
accumulate,C1,,verb,
accumulation,C2,,noun,
accuracy,B2,,noun,describing things
accurate,B2,,adjective,describing things
accurately,B2,,adverb,
accusation,C1,,noun,
accuse,B2,,verb,communication | crime
accused,None,None,,None
accustomed,None,None,,None
ache,B1,,noun | verb,body and health
achieve,B1,,verb,people: actions
achievement,B1,,noun,people: actions
acid,B2,,noun,natural world
acknowledge,C1,ACCEPT | SAY RECEIVED,verb,
acquaintance,C1,,noun,
acquire,B2,GET | LEARN,verb,people: actions
acre,C2,,noun,describing things
across,A2,,adverb | preposition,describing things
act,B1,BEHAVE | PERFORM | THEATER,noun | verb,arts and media | people: actions
action,B1,ACTIVITY,noun,people: actions
active,B1,BUSY | GRAMMAR,adjective,natural world | people: personality | work
actively,B2,,adverb,
activity,A2,EVENT,noun,people: actions | shopping | work
actor,A2,,noun,arts and media | work
actual,B2,REAL,adjective,
actually,A2,TRUTH,adverb,communication
ad,A1,,noun,arts and media
adapt,B2,CHANGE BEHAVIOR | CHANGE SOMETHING,verb,people: actions
adaptation,C1,,noun,
add,A2,CALCULATE | PUT WITH,verb,communication | people: actions
addict,B2,,noun,body and health
addicted,B2,DRUGS | LIKING,adjective,body and health | people: personality
addiction,B2,,noun,body and health
addictive,C1,,adjective,
addition,B2,NEW THING,None | noun,None
additional,B2,,adjective,describing things
address,A1,BUILDING DETAILS | ELECTRONIC,noun | verb,buildings | communication | technology
adequate,B2,ENOUGH | GOOD ENOUGH,adjective,describing things
adequately,B2,,adverb,describing things
adjacent,C2,,adjective,describing things
adjective,A2,,noun,
adjust,B2,CHANGE | CHANGE BEHAVIOR,verb,people: actions
adjustment,B2,,noun,people: actions
administration,C1,ORGANIZING,noun,
administrative,C1,,adjective,
administrator,C1,,noun,
admiration,B2,,noun,people: personality
admire,B1,LOOK AT,verb,people: personality
admission,B1,MONEY,noun,education | money
admit,B1,,verb,communication
admittedly,B2,,adverb,communication
adolescent,C2,,noun,people: appearance
adopt,B2,START | TAKE CHILD,verb,people: actions | relationships
adopted,B2,,adjective,relationships
adoption,B2,,noun,relationships
adult,A1,,adjective | noun,people: appearance
advance,B2,PROGRESS,noun,
advanced,A2,HIGHER LEVEL,adjective,describing things
advantage,B1,USEFUL THING,noun,
adventure,A2,,noun,travel
adventurous,B2,,adjective,people: personality
adverb,A2,,noun,
adverse,None,None,,None
advertise,B1,ASK FOR | TRY TO SELL,verb,arts and media | work
advertisement,A2,,noun,arts and media
advertising,B2,,noun,arts and media | work
advice,A2,,noun,communication
advise,B1,,verb,communication
adviser,C1,,noun,work
advocate,C2,,noun | verb,
affair,B2,RELATIONSHIP | SITUATION,noun,relationships
affect,B2,CAUSE CHANGE | CAUSE EMOTION,verb,
affection,B2,,noun,people: personality
affectionate,C2,,adjective,people: personality
affluent,C1,,adjective,money
afford,B1,,,money | shopping
affordable,C1,,adjective,
afraid,A2,FEAR,adjective,people: personality
after,A2,ORDER | PAST A PLACE,adverb | conjunction | None | preposition,describing things | None
afternoon,A1,,noun,
afterward,A2,,adverb,
again,A1,ONE MORE TIME,adverb,
against,A2,COMPETING | TOUCHING,preposition,communication | describing things
age,A1,HOW OLD,noun,
aged,A2,,adjective,people: appearance
agency,B1,BUSINESS,noun,work
agenda,C1,MEETING,noun,
agent,B2,BUSINESS | SECRET INFORMATION,noun,shopping | work
ages,B1,,noun,
aggression,C1,,noun,
aggressive,B2,VIOLENT,adjective,people: personality
aggressively,B2,,adverb,people: personality
ago,A2,,adverb,
agree,A2,SAME OPINION,verb,communication
agreement,B2,DECISION | SAME OPINION,noun,communication
agriculture,B2,,noun,
ahead,B1,FUTURE | IN FRONT,adjective | adverb,
aid,C1,EQUIPMENT | HELP | SUPPLIES,noun | verb,
aim,B1,,noun,
aimed,B2,,,
air,A2,AIRCRAFT | GAS,noun,natural world | travel
aircraft,B2,,noun,travel
airline,B1,,noun,travel | work
airplane,A2,,noun,travel
airport,A2,,noun,travel
alarm,B1,WAKING | WARNING,noun | verb,communication
alarming,C1,,adjective,
albeit,C2,,conjunction,
album,A2,BOOK,noun,arts and media
alcohol,A2,,noun,food and drink
alcoholic,B1,,adjective | noun,food and drink | people: personality
alert,C1,,adjective | noun | verb,people: personality
alike,B1,,adjective | adverb,
alive,B1,LIVING,adjective,body and health
all,A1,EVERY ONE | WHOLE TIME,adverb | determiner | None,communication | None
allegation,C1,,noun,communication
allege,C2,,verb,communication
alleged,C1,,adjective,
allegedly,C2,,adverb,
alliance,C2,,noun,
allied,C2,,adjective,
allocate,C1,,verb,
allocation,C2,PART | PROCESS,noun,
allow,B1,GIVE PERMISSION,None | verb,None
allowance,C1,MONEY,noun,money
allowances,None,None,,None
ally,C1,PERSON,noun,
almost,A2,,adverb,
alone,A2,WITHOUT PEOPLE,adjective,
along,A2,DIRECTION,adverb | preposition,describing things
alongside,C1,NEXT TO | WITH,adverb,describing things
aloud,B1,,adverb,
alphabet,B1,,noun,communication
alphabetical,B2,,adjective,communication
already,A2,BEFORE NOW,adverb,
also,A1,,adverb,
alter,B2,,verb,
alteration,C1,,noun,
alternate,C1,,verb,
alternative,B2,DIFFERENT PLAN | NOT USUAL,adjective | noun,
alternatively,B2,,adverb,communication
although,B1,BUT | DESPITE,conjunction,communication
altogether,B1,TOTAL,adverb,
aluminum,B2,,noun,natural world
always,A1,EVERY TIME,adverb,
am,B1,,,None
amateur,C1,HOBBY | NO SKILL,adjective | noun,
amazed,B1,,adjective,people: personality
amazement,B2,,noun,people: personality
amazing,A2,GOOD,adjective,describing things | people: personality
amazingly,B1,,adverb,people: personality
ambassador,B2,,noun,politics | work
ambiguity,C2,,noun,
ambiguous,C2,,adjective,
ambition,B1,HOPE,noun,people: personality
ambitious,B2,PERSON | PLAN,adjective,people: personality
ambulance,B1,,noun,body and health | travel
amend,C2,,verb,
amendment,C1,,noun,
amid,C1,WHILE,preposition,
among,B2,IN A GROUP | IN THE MIDDLE,preposition,describing things
amount,B1,,noun,describing things
ample,C1,,adjective,
amuse,B2,KEEP INTERESTED | MAKE LAUGH,verb,communication
amused,B2,FUNNY,adjective,people: personality
amusement,B2,ENTERTAINMENT | FEELING,noun,people: personality
amusing,B1,,adjective,describing things
an,A1,,determiner,
analogous,C2,,adjective,
analogy,C2,,noun,
analysis,B2,,noun,
analyst,B2,,noun,work
analytical,C1,,adjective,
analyze,B2,,verb,people: actions
ancestor,B2,,noun,relationships
anchor,C2,BOAT | FASTEN | JOB | SUPPORT,noun | verb,arts and media
ancient,B1,,adjective,describing things
and,A1,AFTER | ALSO | NUMBERS,conjunction,communication
angel,B1,,noun,
anger,B2,,noun,people: personality
angle,C1,DIRECTION | SPACE | WAY OF THINKING,noun,describing things
angrily,B1,,adverb,people: personality
angry,A2,,adjective,people: personality
animal,A1,NOT A HUMAN,noun,animals
animated,B1,FILM,adjective,arts and media | people: personality
animation,B1,,noun,arts and media
ankle,B1,,noun,body and health
anniversary,B1,,noun,relationships
announce,B1,,verb,communication
announcement,B1,,noun,arts and media | communication
annoy,B1,,verb,people: personality
annoyance,C1,,noun,
annoyed,B1,,adjective,people: personality
annoying,B1,,adjective,people: personality
annual,B1,,adjective,
annually,B2,,adverb,
anonymous,C2,,adjective,
another,A2,ADDITIONAL | DIFFERENT,determiner,describing things
answer,A1,REACT | REACTION,None | noun | verb,communication | None
ant,B1,,noun,animals
antibiotic,C2,,noun,body and health
anticipate,C1,,verb,
anticipation,C2,WAITING,noun,
antique,B1,,adjective | noun,describing things
antisocial,C1,BEHAVIOR | PERSON,adjective,people: personality
anxiety,B2,,noun,people: personality
anxious,B1,WORRIED,adjective,people: personality
anxiously,B2,,adverb,people: personality
any,A1,NOT IMPORTANT WHICH | SOME,adverb | determiner,describing things
anybody,B1,ANY PERSON,None | pronoun,None
anyhow,B2,DESPITE | EARLIER SUBJECT | MORE IMPORTANTLY,adverb,communication
anymore,A2,,adverb,
anyone,B1,ANY PERSON,None | pronoun,None
anything,A1,NO MATTER WHICH,None | pronoun,None
anyway,A2,CHANGE SUBJECT | DESPITE,adverb,communication
anywhere,A2,ANY PLACE,adverb | None,describing things | None
apart,B1,SEPARATE,adverb,describing things
apartment,A2,,noun,buildings
apologetic,C2,,adjective,people: personality
apologies,None,None,,None
apologize,B1,,verb,communication
apology,B1,,noun,communication
apostrophe,B2,,noun,communication
appalling,C2,,adjective,describing things
apparent,B2,OBVIOUS,adjective,
apparently,B2,SEEMS TRUE,adverb | None,communication | None
appeal,B2,ATTRACT | QUALITY,noun | verb,communication | people: personality
appear,B1,BE SEEN | SEEM,verb,shopping
appearance,B1,WAY YOU LOOK,noun,arts and media | people: appearance | shopping
appears,B2,,,
appetite,C1,FOOD,noun,food and drink
applaud,C1,CLAP,verb,
applause,C1,,noun,
apple,A1,,noun,food and drink
appliance,C1,,noun,
application,B1,REQUEST,noun,communication | technology | work
apply,B1,REQUEST,verb,communication | work
appoint,C1,,verb,work
appointment,A2,,noun,body and health | communication | work
appreciate,B2,VALUE,verb,people: personality
appreciation,B2,,noun,people: personality
approach,B2,COME CLOSE | COMING CLOSER | DEAL WITH | METHOD,noun | verb,people: actions | travel
appropriate,B2,,adjective,describing things
appropriately,B2,,adverb,
approval,B2,GOOD OPINION | PERMISSION,noun,communication | people: personality
approve,B1,AGREE,verb,communication | people: personality
approximate,B2,,adjective,describing things
approximately,B1,,adverb,describing things
april,A1,,noun,
arbitrary,C2,,adjective,
arch,C2,,noun | verb,
archaeologist,C1,,noun,work
archaeology,C1,,noun,
architect,B1,,noun,work
architecture,B1,STYLE | SUBJECT,noun,buildings | work
are,A1,,,communication | None
area,A2,REGION,noun,natural world
argue,B1,DISAGREE,verb,communication
argument,B1,DISAGREEMENT,noun,communication
arid,C2,,adjective,natural world
arise,C1,,verb,
arm,A1,BODY,noun,body and health
armchair,A2,,noun,buildings
armed,B2,WEAPONS,adjective,
army,C2,ORGANIZED GROUP,noun,
around,A2,APPROXIMATELY | TO OR IN A PLACE,adverb | None | preposition,describing things | None
arouse,C2,,verb,
arrange,B1,PLAN,verb,people: actions
arrangement,B1,PLANS,noun,communication | people: actions
arrest,B1,,noun | verb,crime
arrival,B1,,None | noun,None | people: actions | travel
arrive,A2,REACH A PLACE,verb,people: actions | travel
arrogant,B2,,adjective,people: personality
arrow,B2,SYMBOL | WEAPON,noun,communication | shopping
art,None,PAINTINGS,None,None
article,B1,GRAMMAR | NEWSPAPER,noun,arts and media
artificial,B2,NOT NATURAL,adjective,describing things | people: personality
artificially,B2,,adverb,
artist,A2,,noun,arts and media | work
artistic,B2,CREATIVE ABILITY | RELATING TO ART,adjective,arts and media | people: personality
artistically,None,None,None,None
arts,B2,,phrase,arts and media | education
as,A1,JOB,conjunction | None | preposition,communication | None | work
ashamed,B1,EMBARRASSED,adjective,people: personality
aside,B2,MOVE TO SIDE | SAVE,adverb,
ask,A1,QUESTION,verb,communication
asleep,B1,SLEEPING,adjective,body and health
aspect,B2,,noun,
aspiration,C2,,noun,
aspire,C2,,,
aspirin,B1,,noun,body and health
aspiring,None,None,,None
assault,C2,,noun | verb,
assemble,C2,BUILD | GROUP,verb,
assembly,C2,BUILD | GROUP,noun,
assert,C1,,verb,communication
assertive,C2,,adjective,people: personality
assess,B2,,verb,people: actions
assessment,B2,,noun,people: actions
asset,C1,USEFUL | WORTH MONEY,noun,money
assign,C1,,verb,
assignment,B1,,noun,
assist,B2,,verb,people: actions
assistance,B2,,noun,people: actions
assistant,B1,,noun,work
